authfull,inst_name,cntry,np6023,firstyr,lastyr,rank (ns),nc9623 (ns),h23 (ns),hm23 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6023 cited9623 (ns),self%,rank,nc9623,h23,hm23,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6023 cited9623,np6023_rw,nc9623_to_rw,nc9623_rw,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count
"Jain, Amita",King George's Medical University,ind,263,1995,2024,"166,000","4,004",32,16.9985,3,28,44,"1,171",120,"2,072",3.2677,"3,689",1.0854,225,8.96%,"178,764","4,398",35,17.9323,3,28,44,"1,211",120,"2,189",3.2911,"3,968",1.1084,229,0,0,3,Microbiology,0.3422,Neurology & Neurosurgery,0.0913,Biomedical Research,0.5057,"4,255","3,998","204,759"
"Menon, Purnima",International Food Policy Research Institute,ind,181,1996,2024,"166,020","4,973",41,14.8802,4,32,24,628,92,"2,244",3.2677,"3,915",1.2702,165,16.91%,"160,625","5,985",46,16.0291,4,33,24,787,92,"2,710",3.3345,"4,316",1.3867,167,0,0,1,Nutrition & Dietetics,0.5084,General & Internal Medicine,0.1061,Biomedical Research,0.5419,"1,020","1,086","51,919"
"Mane, Rajaram S.",Swami Ramanand Teerth Marathwada University,ind,384,1997,2024,"166,029","9,920",48,24.5976,0,0,39,"1,968",124,"2,940",3.2677,"8,747",1.1341,350,16.07%,"160,945","11,819",55,27.4749,0,0,39,"2,305",124,"3,491",3.3336,"9,544",1.2384,354,0,0,7,Applied Physics,0.2394,Materials,0.1915,Enabling & Strategic Technologies,0.4973,"4,618","4,536","304,738"
"Nayak, M. K.",Siksha O Anusandhan (Deemed to be University),ind,119,2014,2024,"166,061","2,170",27,12.8452,9,156,61,"1,372",82,"1,527",3.2676,"1,552",1.3982,106,31.24%,"114,988","3,156",36,14.8119,9,262,61,"2,086",82,"2,294",3.4639,"1,817",1.7369,109,1,38,17,Mechanical Engineering & Transports,0.3529,Energy,0.1513,Engineering,0.4202,883,"1,215","143,311"
"Mulay, Shrikant R.",Central Drug Research Institute India,ind,81,2010,2023,"166,096","4,497",36,9.9922,1,72,21,"1,279",33,"1,794",3.2675,"3,801",1.1831,73,16.54%,"164,658","5,388",40,10.3048,1,73,21,"1,621",33,"2,161",3.3245,"4,147",1.2993,75,0,0,8,Urology & Nephrology,0.2963,Biochemistry & Molecular Biology,0.1481,Clinical Medicine,0.7037,"1,665","1,738","87,532"
"Rao, Sudhakar M.",Indian Institute of Science,ind,113,1983,2024,"166,385","2,215",29,16.8333,7,52,80,"1,499",98,"1,886",3.2668,"1,836",1.2064,100,10.97%,"178,775","2,488",30,17.6667,7,52,80,"1,664",98,"2,090",3.2910,"1,973",1.2610,105,0,0,3,Geological & Geomatics Engineering,0.5536,Environmental Engineering,0.1339,Engineering,0.7321,880,813,"69,076"
"Tyagi, S. K.",Indian Institute of Technology Delhi,ind,145,1997,2024,"166,437","5,703",35,16.8583,2,12,40,734,119,"4,610",3.2667,"5,100",1.1182,129,7.93%,"173,310","6,194",37,17.8917,2,13,40,874,119,"4,997",3.3038,"5,323",1.1636,132,1,4,2,Energy,0.5556,Mechanical Engineering & Transports,0.0764,Enabling & Strategic Technologies,0.6528,"2,494","2,355","313,936"
"Bharagava, Ram Naresh",Babasaheb Bhimrao Ambedkar University,ind,143,2006,2024,"166,699","5,263",38,15.5734,3,17,21,835,63,"3,116",3.2660,"4,534",1.1608,130,11.96%,"175,484","5,978",41,15.7703,3,17,21,"1,010",63,"3,485",3.2987,"4,818",1.2408,134,0,0,4,Environmental Sciences,0.2093,Biotechnology,0.1783,Earth & Environmental Sciences,0.4574,"1,322","1,256","115,291"
"Parija, Subhash Chandra",Sri Balaji Vidyapeeth,ind,305,1983,2023,"166,922","3,564",31,17.1929,25,55,96,528,225,"2,634",3.2654,"3,268",1.0906,237,9.22%,"162,887","3,926",33,18.8119,25,72,96,640,225,"2,893",3.3290,"3,447",1.1390,249,0,0,5,Tropical Medicine,0.2658,Microbiology,0.2292,Clinical Medicine,0.6246,389,391,"36,822"
"Pandey, Dhananjai",Banaras Hindu University,ind,211,1975,2024,"167,103","4,770",36,21.2742,6,21,43,371,156,"3,239",3.2649,"3,323",1.4354,192,18.48%,"148,655","5,851",41,22.7016,6,34,43,443,156,"3,910",3.3652,"3,644",1.6057,195,0,0,0,Applied Physics,0.5024,Materials,0.1564,Physics & Astronomy,0.7156,"4,242","4,572","304,738"
"Gautam, Sneha",Karunya Institute of Technology and Sciences,ind,125,2015,2024,"167,261","2,180",25,12.0925,2,350,35,927,77,"1,271",3.2645,"1,651",1.3204,96,23.86%,"137,255","2,863",31,14.5881,2,399,35,"1,204",77,"1,701",3.3961,"1,819",1.5739,104,0,0,1,Environmental Sciences,0.2080,Meteorology & Atmospheric Sciences,0.1440,Earth & Environmental Sciences,0.5120,967,"1,260","115,291"
"Kumar, Manoj",Om Sterling Global University,ind,189,1989,2024,"167,390","6,751",46,23.9635,0,0,49,"1,858",126,"5,078",3.2642,"5,249",1.2861,180,13.35%,"167,180","7,791",51,26.8536,0,0,49,"2,154",126,"5,757",3.3185,"5,491",1.4189,180,0,0,2,Organic Chemistry,0.5026,Inorganic & Nuclear Chemistry,0.1429,Chemistry,0.8466,"2,981","2,880","170,049"
"Sampath, S.",Indian Institute of Science,ind,238,1983,2024,"167,468","9,707",50,28.6575,0,0,16,616,145,"5,843",3.2640,"8,714",1.1140,220,7.66%,"182,486","10,512",54,29.6746,0,0,16,666,145,"6,221",3.2827,"9,182",1.1448,222,0,0,7,Energy,0.2269,Chemical Physics,0.1092,Enabling & Strategic Technologies,0.4118,"2,643","2,369","313,936"
"Kar, Sayan",Indian Institute of Technology Kharagpur,ind,102,1992,2024,"167,518","2,204",23,16.2500,18,192,36,705,92,"1,804",3.2639,"1,547",1.4247,90,15.59%,"156,228","2,611",26,17.9167,18,232,36,863,92,"2,146",3.3456,"1,672",1.5616,94,0,0,0,Nuclear & Particle Physics,0.7647,General Physics,0.0882,Physics & Astronomy,0.9608,"2,846","2,663","151,105"
"Selvan, R. Kalai",Bharathiar University,ind,157,2003,2024,"167,601","8,340",56,24.1492,0,0,16,996,107,"4,958",3.2637,"7,106",1.1737,152,6.99%,"190,201","8,967",57,24.2604,0,0,16,"1,063",107,"5,310",3.2656,"7,351",1.2198,153,0,0,2,Applied Physics,0.1911,Energy,0.1656,Enabling & Strategic Technologies,0.4331,"5,533","4,590","304,738"
"Chattopadhyay, Himadri",Jadavpur University,ind,137,1992,2024,"167,606","2,786",29,16.9762,5,160,20,551,71,"1,217",3.2637,"2,195",1.2692,108,19.97%,"145,504","3,481",36,19.7929,5,190,20,659,71,"1,467",3.3734,"2,425",1.4355,115,0,0,2,Mechanical Engineering & Transports,0.3796,Materials,0.1314,Engineering,0.5109,"1,136","1,231","143,311"
"Singh, Ravindra",Banaras Hindu University,ind,280,1966,2024,"167,692","4,421",34,18.1857,9,5,117,"2,353",245,"3,441",3.2635,"3,319",1.3320,191,19.04%,"158,929","5,461",40,19.6452,9,5,117,"2,845",245,"4,355",3.3388,"3,519",1.5519,197,0,0,7,Energy,0.2950,Materials,0.0791,Enabling & Strategic Technologies,0.4245,"2,256","2,374","313,936"
"Ranjan, Rajeev",Indian Institute of Science,ind,209,1997,2024,"167,694","4,252",36,17.9939,3,14,32,951,138,"3,098",3.2635,"3,071",1.3846,184,24.04%,"144,985","5,598",42,20.0121,3,18,32,"1,210",138,"4,096",3.3748,"3,463",1.6165,194,0,0,2,Applied Physics,0.6220,Materials,0.1244,Physics & Astronomy,0.7847,"4,104","4,593","304,738"
"Roy, Ashit Baran",Mohanlal Sukhadia University,ind,58,1972,2020,"167,910","1,595",21,15.3500,20,354,43,977,51,"1,279",3.2630,823,1.9380,48,12.02%,"169,088","1,813",24,15.6833,20,400,43,"1,106",51,"1,457",3.3140,870,2.0839,49,0,0,0,Geology,0.4310,Plant Biology & Botany,0.1897,Earth & Environmental Sciences,0.6897,288,284,"16,822"
"Mohanty, Smita",Central Institute of Petrochemicals Engineering and Technology (CIPET),ind,430,2004,2024,"167,911","11,587",51,28.9345,0,0,20,"1,368",55,"2,003",3.2630,"10,134",1.1434,391,7.07%,"186,447","12,468",53,30.8845,0,0,20,"1,411",55,"2,058",3.2739,"10,479",1.1898,395,3,38,5,Polymers,0.4848,Materials,0.1795,Chemistry,0.5851,"1,751","1,494","116,445"
"Tuli, S. M.",Banaras Hindu University,ind,83,1967,2023,"168,011","1,336",18,12.9167,18,849,33,"1,011",62,"1,228",3.2627,"1,128",1.1844,59,3.88%,"183,531","1,390",19,13.9167,18,861,33,"1,036",62,"1,274",3.2804,"1,147",1.2119,63,0,0,0,Orthopedics,0.5542,General & Internal Medicine,0.1205,Clinical Medicine,0.9759,"1,326","1,307","83,175"
"Salunkhe, Rahul",Indian Institute of Technology Jammu,ind,96,2008,2024,"168,030","10,969",49,12.2911,0,0,22,"5,047",34,"5,114",3.2627,"8,628",1.2713,84,8.66%,"179,752","12,009",53,13.0911,0,0,22,"5,361",34,"5,471",3.2889,"9,128",1.3156,88,0,0,6,Nanoscience & Nanotechnology,0.2553,General Chemistry,0.1702,Enabling & Strategic Technologies,0.4681,"1,955","1,855","135,958"
"Jiwari, Ram",Indian Institute of Technology Roorkee,ind,66,2009,2024,"168,073","1,570",23,15.5333,5,334,21,806,51,"1,337",3.2625,820,1.9146,63,16.18%,"167,003","1,873",25,16.2833,5,372,21,944,51,"1,598",3.3189,898,2.0857,63,0,0,0,Applied Mathematics,0.2273,Numerical & Computational Mathematics,0.2121,Mathematics & Statistics,0.5455,445,398,"21,237"
"Arora, A. K.",Indira Gandhi Centre for Atomic Research,ind,156,1981,2014,"168,090","3,860",30,16.1496,6,54,40,925,94,"1,692",3.2625,"3,379",1.1423,140,15.05%,"151,601","4,544",34,18.8163,6,71,40,"1,070",94,"2,031",3.3574,"3,648",1.2456,143,0,0,2,Applied Physics,0.4423,Fluids & Plasmas,0.1474,Physics & Astronomy,0.8654,"4,336","4,604","304,738"
"Biswas, R.",Jadavpur University,ind,72,1989,2024,"168,304","5,496",18,11.4500,19,430,19,430,54,"2,046",3.2620,"4,346",1.2646,52,1.42%,"187,336","5,575",19,11.7833,19,449,19,449,54,"2,090",3.2719,"4,397",1.2679,56,0,0,9,Artificial Intelligence & Image Processing,0.7500,Numerical & Computational Mathematics,0.0278,Information & Communication Technologies,0.8889,"3,854","3,397","399,064"
"Pandey, Chandan",Indian Institute of Technology Jodhpur,ind,169,2015,2024,"168,312","2,782",31,15.7607,2,44,46,"1,416",106,"1,826",3.2619,"1,456",1.9107,151,34.73%,"112,773","4,262",39,19.8774,2,69,46,"2,248",106,"2,910",3.4711,"1,649",2.5846,156,0,0,1,Materials,0.4497,Mechanical Engineering & Transports,0.2722,Enabling & Strategic Technologies,0.5266,"1,581","2,339","299,561"
"Kapil, Arti","All India Institute of Medical Sciences, New Delhi",ind,334,1988,2024,"168,402","5,825",39,17.3507,13,108,24,202,92,"1,219",3.2617,"5,323",1.0943,285,12.52%,"169,014","6,659",43,18.8033,13,113,24,237,92,"1,391",3.3141,"5,795",1.1491,292,0,0,2,Microbiology,0.3503,Pediatrics,0.0808,Clinical Medicine,0.4671,"4,041","4,065","204,759"
"Ray, Bimalendu",The University of Burdwan,ind,93,1960,2024,"168,502","3,387",31,11.4777,2,146,12,465,65,"2,905",3.2615,"2,418",1.4007,89,15.73%,"160,792","4,019",34,12.5706,2,163,12,596,65,"3,437",3.3341,"2,565",1.5669,91,0,0,1,Polymers,0.4409,Organic Chemistry,0.1613,Chemistry,0.7097,"1,501","1,502","116,445"
"Jain, Siddharth",University of Petroleum and Energy Studies,ind,105,2008,2024,"168,579","3,129",28,15.1361,4,28,31,"1,958",68,"2,547",3.2613,"2,670",1.1719,85,12.87%,"176,478","3,591",29,16.6123,4,29,31,"2,126",68,"2,795",3.2964,"2,829",1.2694,88,0,0,2,Energy,0.4314,Mechanical Engineering & Transports,0.1176,Enabling & Strategic Technologies,0.6765,"2,550","2,401","313,936"
"Nayak, Pabitra K.","Tata Institute of Fundamental Research, Hyderabad",ind,73,2004,2024,"168,642","5,544",33,9.6743,3,55,20,"1,709",27,"1,735",3.2611,"5,087",1.0898,66,8.39%,"185,501","6,052",35,9.7457,3,55,20,"1,834",27,"1,866",3.2759,"5,423",1.1160,67,0,0,1,Nanoscience & Nanotechnology,0.3151,Applied Physics,0.1918,Enabling & Strategic Technologies,0.4247,"2,023","1,866","135,958"
"Nageswara Rao, B.",K L Deemed to be University,ind,340,1976,2024,"168,653","3,296",28,18.4833,17,89,70,410,240,"2,192",3.2611,"2,507",1.3147,254,16.26%,"162,313","3,936",29,20.7833,17,107,70,483,240,"2,670",3.3304,"2,699",1.4583,287,0,0,6,Materials,0.3500,Mechanical Engineering & Transports,0.2441,Enabling & Strategic Technologies,0.4000,"2,341","2,343","299,561"
"Abuturab, Muhammad Rafiq","Maulana Azad National Urdu University, Hyderabad",ind,41,2012,2024,"168,892",840,19,19.0000,38,805,40,821,41,840,3.2605,501,1.6766,35,21.50%,"140,834","1,070",23,22.5000,38,"1,029",40,"1,046",41,"1,070",3.3859,541,1.9778,37,0,0,1,Optoelectronics & Photonics,0.7073,Optics,0.1707,Enabling & Strategic Technologies,0.7317,506,577,"120,816"
"Patwardhan, Ashwin W.",Institute of Chemical Technology,ind,149,1996,2024,"168,949","2,860",30,15.6571,5,195,15,454,62,"1,278",3.2604,"2,342",1.2212,136,14.86%,"169,472","3,359",32,17.4363,5,203,15,532,62,"1,431",3.3130,"2,550",1.3173,141,0,0,1,Chemical Engineering,0.6644,Energy,0.1342,Engineering,0.7181,879,849,"79,314"
"Khatkar, B. S.",Guru Jambheshwar University of Science & Technology,ind,112,1995,2024,"168,992","3,862",30,16.9679,4,31,13,663,93,"3,636",3.2603,"3,349",1.1532,97,11.18%,"160,846","4,348",33,18.3012,4,43,13,801,93,"4,065",3.3339,"3,499",1.2426,98,0,0,2,Food Science,0.6964,Plant Biology & Botany,0.1161,"Agriculture, Fisheries & Forestry",0.7589,870,954,"84,371"
"Bhartiya, Deepa",Epigeneres Biotech Pvt Ltd,ind,152,1990,2024,"169,209","2,483",26,14.7190,26,180,71,795,122,"1,416",3.2598,"1,912",1.2986,133,31.90%,"103,241","3,646",35,19.8714,26,313,71,"1,332",122,"2,268",3.5040,"2,097",1.7387,137,3,278,31,Developmental Biology,0.2039,Obstetrics & Reproductive Medicine,0.1316,Clinical Medicine,0.5789,"2,866","4,475","149,337"
"Dhawan, B. N.",Central Drug Research Institute India,ind,295,1956,2017,"169,226","7,218",41,16.7076,12,4,39,902,260,"5,427",3.2597,"5,636",1.2807,194,5.10%,"185,540","7,606",42,16.7949,12,5,39,944,260,"5,765",3.2758,"5,801",1.3112,202,0,0,15,Pharmacology & Pharmacy,0.3233,General & Internal Medicine,0.2900,Clinical Medicine,0.7367,"1,760","1,619","148,458"
"De, Amitava",Indian Institute of Technology Bombay,ind,109,1996,2024,"169,273","8,647",33,16.9524,2,34,18,566,77,"1,438",3.2596,"7,313",1.1824,102,8.83%,"161,302","9,484",37,17.9357,2,40,18,726,77,"1,845",3.3329,"7,578",1.2515,103,0,0,0,Materials,0.6697,Industrial Engineering & Automation,0.1193,Enabling & Strategic Technologies,0.6972,"2,321","2,348","299,561"
"Mishra, Brahmeshwar",Indian Institute of Technology (BHU) Varanasi,ind,217,1987,2024,"169,446","5,390",40,21.2128,2,4,36,843,193,"4,456",3.2592,"4,821",1.1180,172,8.55%,"162,692","5,894",42,22.5890,2,8,36,890,193,"4,887",3.3295,"5,017",1.1748,179,1,10,11,Pharmacology & Pharmacy,0.5952,Polymers,0.0571,Clinical Medicine,0.7000,"1,532","1,623","148,458"
"Patel, Vivek",Pandit Deendayal Energy University,ind,128,2010,2024,"169,450","3,660",30,16.2929,1,42,18,688,62,"2,940",3.2592,"2,710",1.3506,98,17.83%,"153,129","4,454",34,17.9119,1,56,18,881,62,"3,471",3.3533,"2,922",1.5243,103,0,0,4,Mechanical Engineering & Transports,0.2188,Materials,0.2109,Enabling & Strategic Technologies,0.3828,"1,195","1,248","143,311"
"Ramaiah, Kapa D.",Consultant LF Epidemiologist Puducherry,ind,89,1986,2022,"169,480","14,435",28,11.5647,3,47,32,"1,069",43,"1,185",3.2591,"13,210",1.0927,85,10.14%,"165,978","16,064",30,13.1480,3,51,32,"1,260",43,"1,413",3.3213,"14,262",1.1263,85,0,0,8,Tropical Medicine,0.6742,General & Internal Medicine,0.0787,Clinical Medicine,0.8090,394,396,"36,822"
"Dhawan, S. K.",CSIR-National Physical Laboratory,ind,192,1989,2024,"169,571","9,072",56,22.6017,0,0,16,932,102,"5,440",3.2589,"6,833",1.3277,182,11.82%,"179,499","10,288",59,24.0854,0,0,16,"1,033",102,"6,135",3.2894,"7,240",1.4210,184,0,0,5,Applied Physics,0.3125,Materials,0.1875,Enabling & Strategic Technologies,0.3750,"5,205","4,633","304,738"
"Ananthasuresh, G. K.",Indian Institute of Science,ind,287,1990,2024,"169,575","4,251",35,19.8429,37,18,53,543,241,"3,361",3.2589,"3,145",1.3517,175,16.42%,"174,028","5,086",37,20.6762,37,19,53,629,241,"3,971",3.3021,"3,425",1.4850,196,0,0,0,Design Practice & Management,0.5019,Nanoscience & Nanotechnology,0.1128,Built Environment & Design,0.5292,104,97,"11,034"
"Sharma, Rohit",Government Medical College Amritsar,ind,48,1961,2002,"169,720","1,654",18,12.0179,13,474,22,"1,400",39,"1,501",3.2586,"1,075",1.5386,31,0.54%,"199,301","1,663",18,12.0179,13,476,22,"1,407",39,"1,508",3.2461,"1,079",1.5412,31,0,0,0,General & Internal Medicine,0.3125,Nutrition & Dietetics,0.2292,Clinical Medicine,0.4583,"2,384","2,188","333,256"
"Bhunia, Asoke Kumar",The University of Burdwan,ind,153,1996,2024,"169,735","2,326",29,15.6833,1,142,48,763,109,"1,343",3.2586,"1,650",1.4097,117,26.81%,"136,578","3,178",36,18.7167,1,153,48,"1,075",109,"1,922",3.3980,"1,840",1.7272,122,0,0,2,Operations Research,0.3268,Artificial Intelligence & Image Processing,0.1961,Engineering,0.4248,501,668,"29,481"
"Shukla, S. R.","Institute of Wood Science and Technology (IWST), Bangalore",ind,190,1976,2024,"169,836","2,737",25,15.3095,41,30,138,"2,409",163,"2,612",3.2583,"2,191",1.2492,118,3.56%,"190,675","2,838",25,15.9345,41,32,138,"2,506",163,"2,711",3.2645,"2,228",1.2738,122,0,0,1,Polymers,0.4105,Materials,0.3211,Chemistry,0.4368,"1,795","1,516","116,445"
"Verma, Shyam B.",Nirvan Skin Clinic,ind,145,2002,2024,"170,095","1,674",22,14.7527,58,431,109,882,121,"1,027",3.2577,"1,235",1.3555,113,19.48%,"165,163","2,079",24,15.5610,58,498,109,"1,056",121,"1,219",3.3233,"1,384",1.5022,120,0,0,0,Dermatology & Venereal Diseases,0.5034,Microbiology,0.0552,Clinical Medicine,0.9310,972,"1,030","57,585"
"Chatterjee, Sheshadri",Indian Institute of Technology Kharagpur,ind,164,2015,2024,"170,228","1,910",22,13.1833,18,152,133,"1,746",141,"1,775",3.2574,"1,626",1.1747,128,44.69%,"67,834","3,453",40,20.3000,18,437,133,"3,198",141,"3,229",3.6515,"1,804",1.9141,134,0,0,1,Business & Management,0.3865,Marketing,0.1656,Economics & Business,0.5951,653,"1,792","57,191"
"Kain, Vivekanand",Bhabha Atomic Research Centre,ind,288,1988,2024,"170,607","3,671",32,16.1544,5,102,34,485,143,"1,421",3.2565,"3,078",1.1927,243,18.98%,"149,797","4,531",36,18.7710,5,107,34,736,143,"1,833",3.3620,"3,368",1.3453,256,0,0,0,Materials,0.4688,Energy,0.2535,Enabling & Strategic Technologies,0.7604,"2,145","2,367","299,561"
"Madhu, P. K.","Tata Institute of Fundamental Research, Hyderabad",ind,154,1995,2023,"170,881","3,842",32,16.2229,3,73,21,617,77,"1,480",3.2557,"2,576",1.4915,134,21.82%,"149,893","4,914",37,18.5396,3,91,21,752,77,"1,904",3.3618,"2,905",1.6916,140,0,0,0,Biophysics,0.3618,Chemical Physics,0.3421,Physics & Astronomy,0.4342,252,268,"19,888"
"Reddy, Attipalli R.",University of Hyderabad,ind,92,1982,2024,"170,903","4,255",25,12.4929,4,24,23,"2,283",82,"3,602",3.2557,"4,041",1.0530,84,7.54%,"184,281","4,602",27,13.0262,4,25,23,"2,350",82,"3,874",3.2787,"4,204",1.0947,86,0,0,3,Plant Biology & Botany,0.5934,Biophysics,0.0549,Biology,0.6264,"2,684","2,489","174,582"
"Rudraiah, N.",Bangalore University,ind,149,1964,2016,"170,906","1,909",21,14.8333,19,138,110,"1,573",133,"1,770",3.2557,"1,549",1.2324,120,13.23%,"165,105","2,200",22,16.5833,19,179,110,"1,807",133,"2,030",3.3234,"1,658",1.3269,132,0,0,5,Mechanical Engineering & Transports,0.5369,Fluids & Plasmas,0.0872,Engineering,0.5839,"1,287","1,264","143,311"
"Roy, Dibyendu",Raman Research Institute,ind,53,2006,2024,"170,927","1,438",20,13.8750,11,470,29,"1,044",43,"1,268",3.2556,"1,107",1.2990,48,13.69%,"171,921","1,666",23,14.2083,11,512,29,"1,179",43,"1,452",3.3071,"1,214",1.3723,50,0,0,3,Applied Physics,0.4151,Fluids & Plasmas,0.2453,Physics & Astronomy,0.9811,"4,970","4,669","304,738"
"Bhosale, Sheshanath V.",Central University of Karnataka,ind,306,2002,2024,"170,931","6,346",35,15.9635,2,5,37,"1,664",192,"4,058",3.2556,"5,135",1.2358,262,22.25%,"137,563","8,162",42,19.8567,2,7,37,"2,138",192,"5,266",3.3951,"5,690",1.4344,273,7,313,25,Organic Chemistry,0.4314,General Chemistry,0.1569,Chemistry,0.7484,"2,466","2,936","170,049"
"Pal, Umapada","Indian Statistical Institute, Kolkata",ind,478,1994,2024,"171,040","7,423",42,24.8473,0,0,42,"1,952",231,"4,381",3.2554,"4,859",1.5277,393,18.46%,"169,466","9,103",46,27.7048,0,0,42,"2,230",231,"5,160",3.3130,"5,440",1.6733,416,0,0,11,Artificial Intelligence & Image Processing,0.8532,Software Engineering,0.0335,Information & Communication Technologies,0.9706,"3,463","3,453","399,064"
"Tiwari, Ashok Kumar",Indian Institute of Chemical Technology,ind,102,2001,2023,"171,107","2,534",25,9.2171,11,457,21,"1,090",33,"1,197",3.2553,"2,404",1.0541,87,11.61%,"177,029","2,867",27,9.9806,11,485,21,"1,170",33,"1,299",3.2951,"2,558",1.1208,89,0,0,3,Medicinal & Biomolecular Chemistry,0.4412,Organic Chemistry,0.1765,Chemistry,0.6961,705,654,"105,998"
"Sen, Anjan A.",Jamia Millia Islamia,ind,96,2000,2024,"171,471","4,399",28,14.7651,4,81,15,332,75,"3,635",3.2543,"3,094",1.4218,83,18.08%,"168,334","5,370",31,15.8484,4,95,15,371,75,"4,099",3.3157,"3,491",1.5382,87,0,0,0,Nuclear & Particle Physics,0.8021,Astronomy & Astrophysics,0.1354,Physics & Astronomy,1.0000,"3,057","2,721","151,105"
"Sen, Jaydip",Praxis Business School,ind,84,2005,2024,"171,531","2,344",16,13.2667,36,460,63,765,77,"1,956",3.2542,"2,258",1.0381,73,7.50%,"177,268","2,534",18,13.3500,36,508,63,908,77,"2,126",3.2946,"2,312",1.0960,77,0,0,4,Artificial Intelligence & Image Processing,0.5610,Networking & Telecommunications,0.2683,Information & Communication Technologies,0.9512,"3,651","3,464","399,064"
"Subramanian, B.",Central Electrochemical Research Institute India,ind,157,1994,2024,"171,533","3,334",30,15.4904,3,33,53,"1,421",102,"2,086",3.2542,"3,079",1.0828,146,11.61%,"180,928","3,772",32,16.6011,3,34,53,"1,518",102,"2,272",3.2862,"3,368",1.1200,147,1,15,1,Applied Physics,0.2803,Materials,0.2484,Enabling & Strategic Technologies,0.5096,"5,253","4,687","304,738"
"Singh, Bhanu Pratap",CSIR-National Physical Laboratory,ind,159,2004,2024,"171,713","6,369",41,16.1814,1,29,15,624,45,"1,337",3.2538,"5,207",1.2232,139,16.67%,"157,686","7,643",45,17.7505,1,38,15,777,45,"1,685",3.3420,"5,660",1.3504,144,0,0,3,Nanoscience & Nanotechnology,0.2038,Materials,0.1847,Enabling & Strategic Technologies,0.5287,"1,687","1,910","135,958"
"Singh, Neera","ICAR - Indian Agricultural Research Institute, New Delhi",ind,105,1990,2024,"171,714","1,845",22,16.0040,9,283,43,744,81,"1,351",3.2538,"1,594",1.1575,95,10.78%,"182,296","2,068",23,16.5040,9,299,43,828,81,"1,529",3.2832,"1,699",1.2172,95,0,0,1,Toxicology,0.2952,Environmental Sciences,0.2762,Biomedical Research,0.3143,883,833,"65,055"
"Shiva, Vandana",Earth University (Bija Vidyapeeth),ind,77,1980,2022,"171,736","1,678",15,11.5667,54,906,63,"1,020",71,"1,562",3.2538,"1,619",1.0364,51,0.83%,"201,610","1,692",15,11.5667,54,908,63,"1,022",71,"1,570",3.2414,"1,633",1.0361,51,0,0,0,General & Internal Medicine,0.1370,Ecology,0.0685,Social Sciences,0.2466,"2,409","2,220","333,256"
"Shetti, Nagaraj P.",KLE Technological University,ind,288,2009,2024,"171,811","9,859",54,22.0251,0,0,47,"1,884",106,"2,634",3.2536,"6,712",1.4689,275,21.53%,"139,874","12,564",69,26.1442,0,0,47,"2,747",106,"3,838",3.3886,"7,227",1.7385,279,0,0,6,Analytical Chemistry,0.1702,Environmental Sciences,0.1418,Enabling & Strategic Technologies,0.3227,"1,100","1,361","122,576"
"Nair, CP Reghunadhan",Cochin University of Science and Technology,ind,81,1984,2022,"171,865","1,864",22,12.7111,4,605,11,696,43,"1,124",3.2535,"1,697",1.0984,77,8.13%,"182,229","2,029",24,13.7778,4,614,11,722,43,"1,186",3.2833,"1,785",1.1367,77,0,0,0,Polymers,0.6667,Materials,0.0988,Chemistry,0.7778,"1,708","1,541","116,445"
"Singh, P. K.","GLA University, Mathura",ind,232,1994,2024,"171,928","2,378",25,13.4141,6,135,71,"1,090",168,"1,822",3.2533,"1,921",1.2379,187,20.39%,"164,543","2,987",28,14.8308,6,140,71,"1,286",168,"2,214",3.3248,"2,179",1.3708,196,0,0,1,Materials,0.2165,Mining & Metallurgy,0.1558,Engineering,0.4026,"2,371","2,385","299,561"
"Barooah, Prabir",Indian Institute of Technology Guwahati,ind,132,1997,2024,"172,086","3,878",32,17.6667,3,21,26,954,94,"2,656",3.2529,"2,985",1.2992,120,10.52%,"178,990","4,334",34,18.8333,3,23,26,"1,056",94,"2,928",3.2905,"3,170",1.3672,124,0,0,2,Industrial Engineering & Automation,0.5227,Energy,0.1591,Engineering,0.5833,"1,392","1,280","113,906"
"Suresh, Kuralayanapalya Puttahonnappa",Indian Council of Agricultural Research,ind,126,1999,2024,"172,131","2,312",18,8.4675,1,725,23,"1,368",43,"1,521",3.2528,"2,204",1.0490,92,8.87%,"185,040","2,537",20,8.8853,1,725,23,"1,385",43,"1,584",3.2769,"2,349",1.0800,105,1,725,5,Dairy & Animal Science,0.4683,Biotechnology,0.0714,"Agriculture, Fisheries & Forestry",0.5238,578,513,"70,239"
"Gupta, Tejpal",Tata Memorial Hospital,ind,287,2002,2024,"172,246","5,196",33,13.6096,5,29,82,"1,482",114,"1,626",3.2526,"4,812",1.0798,234,11.53%,"186,364","5,873",35,13.9663,5,29,82,"1,612",114,"1,761",3.2741,"5,273",1.1138,238,0,0,5,Oncology & Carcinogenesis,0.4739,Neurology & Neurosurgery,0.1429,Clinical Medicine,0.9547,"6,653","6,427","334,837"
